username,avatar_url,content,likes,timestamp,parent_comment,video_url
@user4531363693334,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/32d5571b84bf3dec31a311a95dd29523~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1fa5e92a&x-expires=1753606800&x-signature=4F4uw6Ly%2B49Ky9ocHfRJBuzsrDE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,bé kiểu: ông trời sập rồi,1036.0,11-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@nhancuong004,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/4bc2dc1e82ead0892b32dd132857ccf3~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6664d1cd&x-expires=1753606800&x-signature=Z2zSTvOOQKW8mDR91Xya1Pjm2U8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,"full đỏ , chắc aim rrrr🗿",0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@_zu_1452,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/2091d4036f69b85769b1de18eabe3e48~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=62c70ff9&x-expires=1753606800&x-signature=EwGA4ezU2vdnEHQviKO35zN7LF8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,về kể đang đứng chs bị bóng đèn ko ai tin?,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@wzyen01,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/31f01635b495cdb4f75f08951b75efdf~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=61df558f&x-expires=1753606800&x-signature=MgWZmfTIYcxVnj1BTdptaakxSqE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,xin độ nhạy,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@...vandien,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7103222497188773890~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7be4a558&x-expires=1753606800&x-signature=n%2BXuQIir5uYM7ZBvwQ1sGLqf86s%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,mới ngã chưa kịp đứng dậy nữa,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@hotyy77,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5b000ef6142c9cc0e7d60dec5b11ef2b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f7d7eddc&x-expires=1753606800&x-signature=KHKy55isl79cQ6V%2F1Uv7XaH7vT8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,tao cần tìm shop bán món này trên shopee :)) thằng shiper tới công chuyện với tao🤣,152.0,12-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@f_m_i_l_y_7_d,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/83055f0fc1634658c586e3916bb7ae6a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=499e1bf8&x-expires=1753606800&x-signature=2fty4YYAGfUOXOExzeIK2L14%2Bm0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Cho xin độ nhạy 😂😂😂,0.0,15-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@user7848567062492,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/da27a261b90c25c2b21ad6782f15a0f4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6f7577d8&x-expires=1753606800&x-signature=gipDpc1oVUJ3xTEhYi9NuaH1aqQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,quả cầu liliana đè aya😂,6.0,12-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@nhanvan1996,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/22343827593b86af1b8c23dd109c07af~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=a79134c1&x-expires=1753606800&x-signature=78n6TQkP1JJyXL3oCSVgi2hDG%2BE%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Chưa kịp load😁,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@iw_qhci,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/bdd872472e1f1b54857133518dabc316~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=75833cfd&x-expires=1753606800&x-signature=%2FgDH3A33aAA5%2BtQmA%2BQ99s2Rdk4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,khớp vaix,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@chuyencuagio11,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/5da0a06f5e09a8ad3763d11323eecaa4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f0fee48c&x-expires=1753606800&x-signature=JcJt%2Bf7JWYlBoac%2FhAuK45tcO28%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,về nhà kể ko ai tin😂,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@linhngoc130890,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-giso/44f16c453d0e21da9e65c7463bee0567~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1a385063&x-expires=1753606800&x-signature=1CE7Q2lGPsptiwKPZH0lSuC6ssY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Nhớ hồi nhỏ đứng ngoài hàng rào xem mấy anh đá bóng Bỗng dưng bóng bay ra ngoài trúng vào đầu mình quê quá đi về luôn,10.0,12-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@tieuha1811,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/622299b37a124deb6c636a894c16563b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0417218c&x-expires=1753606800&x-signature=4KCHK7JsvPeN7yTCJxshZVcfd9A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Vậy đó t nói trên đời này có bóng đè mà đâu có ai tin 😌,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@emthuongcotien,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e5d9670e01d69e2168f906af761f292c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=deb89641&x-expires=1753606800&x-signature=DRuQSafl1QOwgr830U5e8iL1Fpc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,xin độ nhạy 🤣🤣,0.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@t.zy27,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b2f29cc354785d92a545401e5f52550a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3050d473&x-expires=1753606800&x-signature=5TRpxQCrwYVF0eW30A7t7aghLa8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,bé nó kiểu cái gì vậy trời,0.0,15-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@nghiavodanh0,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/93e689bc7707b403cb6d2443c6fd3f37~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=dffc603e&x-expires=1753606800&x-signature=6%2FYFd4HQHDIlLrthbqj5hiOJvlg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,lối bắn hoa mĩ à,0.0,15-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@hng_qnuaggg,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/acb83a122a5af15c7fed855125158ed1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1fa20cbe&x-expires=1753606800&x-signature=Rw%2BSydp6ABXOVdv64cJ%2BE2B54DM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,libero,1.0,14-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@botngotomanhi,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/537b2456cdfeb45c13c71c467a9930fd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=20826477&x-expires=1753606800&x-signature=3ZwqwhkESHjeLU365xDibxo8VRU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,nó chưa từng hỏi t là có muốn hay kk,1.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@cubin222_,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/58431536861cf869f059158c402fa9cd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=36722415&x-expires=1753606800&x-signature=jpGHnSoPEGq0GzLsLdG8gd5vZdk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,từ nay chắc ko chs chuyền nx 🤣,0.0,15-07-2025,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@o.mai.chui1,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/17f68b7b02dcd25e1036f4cf76f51402~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8f4ff4a2&x-expires=1753606800&x-signature=rGSqlv6J%2Fu9GmM4mrP9Ih%2F6N6Es%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,chắc do tâm t ác 🥰,1.0,,,https://www.tiktok.com/@cocnews8/video/7525732374013889800
@ragdemot,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/c378678973aaa43192b8eb4a81d3e4f7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=9eaa2c59&x-expires=1753606800&x-signature=cdy%2BgFlfFA9t5khjbCaUdAmRmcA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Sorry I doubted you king 👑,13500.0,16-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@alnecoqb7h4,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/43b2305e0b755bfb21ecb273e4975019~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f8d34ef9&x-expires=1753606800&x-signature=kdfOZTUW%2BR%2BIRMQmZdvde6Qlp88%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,does he win cooking oil?,1008.0,16-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@manualdo_rodrigo,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/87c5c0f95ffd7eb1dfb616c3aff549e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=ae2afbe8&x-expires=1753606800&x-signature=rq%2BYHL7a4f0zyx9DRBVWiomp1JM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,that slap in the ear,6485.0,15-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@0boy92,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/45c0705235356397e17e9476da57067f~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=2b0e6630&x-expires=1753606800&x-signature=cJA%2FsLs318GGdqjQEX%2BMY6V8qVc%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Rip 👂 😂,463.0,15-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@ncd1995,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7329191049895608340~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f5b534fd&x-expires=1753606800&x-signature=gYnEHEpoLmHGf7QSsNHdv1UqoS4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,kiểu bắn này hơi tốn tai 😂,407.0,15-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@kazdff,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/6e97cf6b6d071a65a64ac576671463c4~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3157bbcd&x-expires=1753606800&x-signature=4fDHOGjcjM0zf6ed7lVb86d09m4%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Maybe the Wii sports archery wasn’t exaggerating 😭🙏,98.0,,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@i55kht05f53eymxdtu0j,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/f318f74186fbbad675607e123c7d1290~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=bd1f8172&x-expires=1753606800&x-signature=rIyY%2BMX%2F6%2FQWhzpcVgOLHXsdKxQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,why are they using toilet plunger for arrow,175.0,17-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@father.dinny,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/61b84cf690c77d32be3c77ad57e808e9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7374b432&x-expires=1753606800&x-signature=%2Bw9zkPd8sTQk1XG78UiCmZtMjsI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,People will hate but that’s very impressive,207.0,16-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@user4400344457144,https://p16-sign-va.tiktokcdn.com/musically-maliva-obj/1594805258216454~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d8d37c29&x-expires=1753606800&x-signature=884zuwl8Olhh80K74ipeo4BbSbg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,in which country,3.0,,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@kassime93,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/2a5f8c946f7fdfc081c0fb0dafd4b95b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=fcdb975d&x-expires=1753606800&x-signature=AnsNUoGZ%2BOyfnLjSvt8QeRXQU6c%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Pleins de manière mais bon tireur 🤝,62.0,16-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@user2956318856454,https://p9-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7328375060467548162~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0a14a12f&x-expires=1753606800&x-signature=ycR9Gmz4DYwqv24%2FxAlSTBV4PDs%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,chắc k đau tai đâu,26.0,15-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@tailfeather6,https://p16-sign-va.tiktokcdn.com/tos-maliva-avt-0068/57df5f3ec66e2e8c6a74d67bb9437a33~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0b49d273&x-expires=1753606800&x-signature=q1FmKK1vmk%2BZSI2djVRc%2FRX4NxQ%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,The halal games,718.0,15-07-2025,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
@zyna571,https://p16-common-sign-useastred.tiktokcdn-eu.com/tos-useast2a-avt-0068-euttp/5af8b9f9eea123f29c8d5114f178f235~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=55eac88d&x-expires=1753606800&x-signature=dMHh4ouQLi5mRzrzbjLLHz9BJ3U%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2,Traditional archery game in Pakistan.. Very old..,74.0,,,https://www.tiktok.com/@merwaiz_khan_4/video/7526990207514692880
