username,avatar_url,content,likes,timestamp,parent_comment,video_url,sentiment
@duyluong945,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7327622514409111553~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6788e65c&x-expires=1755352800&x-signature=sTChM6cUzmUfTiFhwDIVJVtFT6A%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Gọi vốn thì phải thế,68.0,12-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@haipham38883,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c95dccec5399403188a489182021f521~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=c20f647f&x-expires=1755352800&x-signature=6Ge4i83qjSLRvDQeh3m9FD46prg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Ko thấy vết muỗi đốt nào nhỉ,2.0,11-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@haidavid_1990,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/7329531748004413448~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=39e0a28c&x-expires=1755352800&x-signature=TW6WNppuLBuNiJoQywIlbODeyyw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Đã mắt chứ ngứa đâu😂,0.0,15-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,NEG
@phuongthutra,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/11a037f36a18e16de70b18ae5bd0908b~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5e411840&x-expires=1755352800&x-signature=ytsbZaRT0%2F2Xrw5kbUIcPGtPhN8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Trả tiền hình ảnh chưa?,51.0,12-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@kulll9696,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/b82988af8d8cab3f40b43066d9a7f1b1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1e6915d1&x-expires=1755352800&x-signature=NzdDdm3HuV%2B0SccuPrB0XP%2Fp7WA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Cho mk xin link cặp,1.0,11-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@xuanca2k1_hn,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/72b282680193a87faff176417cc25861~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8a18bbb6&x-expires=1755352800&x-signature=NtLI301vbKERSdGe0mxePj2Hrhg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Giọng nàu đúng gái hà nội,0.0,13-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,NEU
@ph.huyen01,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3d77c998f60ba0bd3b10adf1fd112185~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=0ef412c8&x-expires=1755352800&x-signature=2msuz%2BbvfJUQ6dMm7KEFmTjBQH0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Ai biết chỗ bán áo sơ mi nhnay k ạ 🥲,0.0,14-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@camxinhiudaylee_07,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/65094aa6ce2591d5f2d6381fa82f6a3a~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=acd15231&x-expires=1755352800&x-signature=lAonqo0BUfOo7F4hTJwnP%2FZmFdg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,túi c trà bán không ạ,9.0,11-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@quantroc90,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e39fe92e2a9f6ead21cbb6216a7da23c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=54b63fb4&x-expires=1755352800&x-signature=wcnVdCDIcSK%2F%2Fh4AO%2BQeW2P5OgA%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,mặc đẹp,0.0,14-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,POS
@moc_229,https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/e2ec876ea8e8bf1bad2c7f21ee2d69de~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=efbacfc9&x-expires=1755352800&x-signature=LnoEGnQ7ESt3M%2FKiBiCp49zXGt8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my,Một tờ hết số thôi,1.0,14-08-2025,,https://www.tiktok.com/@himz_1205/video/7537265078085684487,NEU
