user_info,content,likes,timestamp,video_url
"{'username': '@etuancuong', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8b6a6ef0fa2e480a9e8b517783dbf1db~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=f4965793&x-expires=1752080400&x-signature=tQPb2owqukbb33YxHQFgXQuwGtU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",dây chuyền chồng qua cổ có nghĩa gì,3331,6d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@hiep05058', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/3325b4b4db4bf74bb398c1f4f6b6c687~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=29b9b36f&x-expires=1752080400&x-signature=MvS0UV3Mk6g%2Fg2jyvYxWkyVrLOU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",T gõ trên cơ là gì nó ra sếch,4,4d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@chuyenhoang966', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/04daee971483e5880f07a50ba1080df1~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=5587bbce&x-expires=1752080400&x-signature=ORLiyhgDzqWL7mxbCE6of3Q3ZS0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Kiểu này cưới xong cũng phải đưa lại hết vàng cho mẹ ck🤣,8313,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@saucon0803', 'avatar_url': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/78bb736f1421b9aefe309f4ac5fa44e6~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=d36306b0&x-expires=1752080400&x-signature=AltAQEAzUIpPRhdMpm0jTnLbIs8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Đeo kiểu gì cũng dc miễn đừng lấy vàng lại là dc,4713,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@tungtran20433', 'avatar_url': 'https://p16-sign-useast2a.tiktokcdn.com/tos-useast2a-avt-0068-giso/ae11bfecbfcaddf9c46a42e9d553e65d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=45db2755&x-expires=1752080400&x-signature=uhIvg5jvcSLO7lhFh0dE8iOMkJk%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",thứ nguy hiểm ở đây ko phải bà mẹ mà là mxh :)))),3093,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@linxinhhnhat', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/67e50b1619d91384cd7a87f5c1274fe9~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4b2b987a&x-expires=1752080400&x-signature=KXfJRMR5j9C3B13l604Teorpzlw%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Nhiều mẹ ck ghê gớm thật sự chắc k dám lấy ck quá 🙂,4661,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@anhthu_.089', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/90abcc1aa4e9fea8b00c79603d6bae55~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4b2bafbd&x-expires=1752080400&x-signature=dS5QhCt71XpKFf4y5Ntf6ru2CRU%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}","Đeo kiểu vậy là mẹ chồng muốn nắm đầu con dâu,hành hạ,trói buột con dâu á",867,6d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@kh_linh_h1h4_bong_', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/42705da0cad59d315c737571204e7524~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=7ae26539&x-expires=1752080400&x-signature=VndTuM0v%2BXZwgVh%2BweOf9rxrREg%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",tìm kiếm dây chuyền chồng qua cổ có nghĩa gì mà nó toàn hiện boylove ko =))),44,6d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@hangnganhuhien_33', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ce5744708ab403302fd4a34dbe3a1bd7~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=cd9f2c17&x-expires=1752080400&x-signature=hAcnwNJ%2B4JR4aaCRJqBv9Qfi%2B%2Bo%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}","Đeo kiểu gì thì kệ, miễn cho là đc. Còn sau này nghe lời hay ko là việc của con kkk",442,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@kim_oi1989', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/49b4fc92501940361ac75a28fbe1280c~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=8361073d&x-expires=1752080400&x-signature=7oEr0ML4dqL%2Fw1YNSxLrcKrF1U0%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Ôi tui tin nha lm vậy để trên cơ cô dâu nè,487,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@dangt2002', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6dbf31a4f3a9a69907c6d048a5670bfd~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=106966fd&x-expires=1752080400&x-signature=RBl8KT4jmzVFi%2B2L1tQwWwhsXSI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}","Ai bị lấy lại vàng như tui không, ? Tui vừa được trao vào cổ mấy phút xong lễ trao là bị lấy lại luôn 😂",178,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@linh.n331', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/c6c70c751141c159cd2ae69144e9eb13~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=86c098d3&x-expires=1752080400&x-signature=D0GGBbXxdIZQI5PRO7GMoHO6a6w%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",T gõ trên cơ là gì nó ra sếch,5786,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@_ntkn206', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/ac28d800889f048d1c122d7994362070~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4411a1b5&x-expires=1752080400&x-signature=5mgrxJTa6RCCq0YLeTPZ2epeEr8%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",sao giống đeo gông zo cổ dữ trời 😬,287,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@chiyeuminhanh_235', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8f7f585decb35c0d4c96457b8c0b5a50~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=3b3f82d5&x-expires=1752080400&x-signature=xCynvfrWBCaDzKLZR8uZX3A6kGI%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",ê chắc có mình tao chưa hiểu,82,6d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@p.linh106', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/9acddcd8950953af7eccfdbe23858937~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=4cef39e2&x-expires=1752080400&x-signature=Y4zKn69jBQadtCEmZd9p0yi%2FQms%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Ủa là sao vậy mn,10,6d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@biencex3110', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/6eaccce023b6a7a21de8b7b0a408b7cc~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=6120a1cd&x-expires=1752080400&x-signature=nlzJU0rhsOyZ1ufDuo8BGcYyKrY%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",ê ông chồng t thấy giống mama boy =))),306,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@btrann_29.10', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/faad6036de3b36c5b468f8738c2caaac~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=1f56c344&x-expires=1752080400&x-signature=dduG%2FP7YPeG%2Fh4fwrW9ihLHc%2B14%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Ko ở dec thì li hôn chứ sao lo xa vậy trời 🙏🏻🙏🏻,9,1w ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
"{'username': '@tloan.282', 'avatar_url': 'https://p16-sign-sg.tiktokcdn.com/tos-alisg-avt-0068/8786bd58d879ae771c7355b083a4927d~tplv-tiktokx-cropcenter:100:100.jpg?dr=14579&refresh_token=b8a875ff&x-expires=1752080400&x-signature=lzT6GnffjSyHRFQqkf4TCs0JwrM%3D&t=4d5b0474&ps=13740610&shp=30310797&shcp=ff37627b&idc=my2'}",Hay vàng 24k ko có móc khoá để tháo phải đeo chòng,28,6d ago,https://www.tiktok.com/@sau.drama/video/7522016067275820309
